config_index,K_Eh,Vavg_Eh,Etotal_Eh
368,0.0004274054338428374,-76.46083541220668,-76.46040800677284
369,0.000427352826960909,-76.45898999398668,-76.45856264115972
370,0.0004273867502644663,-76.46048776507,-76.46006037831974
371,0.00042737744514280613,-76.46146450046334,-76.46103712301819
372,0.00042742422462541314,-76.46244604512,-76.46201862089538
373,0.0004274293034987496,-76.46349104981667,-76.46306362051317
374,0.00042742311805213715,-76.45982016471335,-76.4593927415953
375,0.0004273806310840215,-76.46126940290667,-76.46084202227559
376,0.0004274191212275742,-76.46190524680667,-76.46147782768544
377,0.0004274316150883299,-76.46412699292667,-76.46369956131157
378,0.0004274172149939634,-76.46170668597001,-76.46127926875502
379,0.0004274350436530604,-76.46174858631001,-76.46132115126636
380,0.000427387586452904,-76.46197238148332,-76.46154499389687
381,0.000427374106211458,-76.46126282902333,-76.46083545491712
382,0.00042738836828378444,-76.46340520969333,-76.46297782132505
383,0.0004274151196840913,-76.45941571670001,-76.45898830158032
384,0.00042738732685230574,-76.46232956587666,-76.4619021785498
385,0.0004273978190057912,-76.46198728432334,-76.46155988650433
386,0.0004273631047344243,-76.46098890623001,-76.46056154312528
387,0.00042740463190983136,-76.46053314413666,-76.46010573950475
388,0.000427421293445669,-76.46263999301333,-76.46221257171987
389,0.0004274101842133918,-76.45893705479334,-76.45850964460912
390,0.0004274117753879931,-76.46224445838332,-76.46181704660793
391,0.0004274312565607615,-76.46437458628667,-76.46394715503011
392,0.0004273625127069846,-76.45921147101997,-76.45878410850726
393,0.0004273010984029269,-76.45999832512001,-76.45957102402161
394,0.00042736645013972794,-76.46296735349668,-76.46253998704654
395,0.00042742232852044484,-76.46298611942667,-76.46255869709816
396,0.00042740638687002085,-76.46262716254334,-76.46219975615647
397,0.0004274192761462169,-76.46013929116333,-76.45971187188718
398,0.00042742954895705197,-76.46056965547,-76.46014222592103
399,0.0004274092700319686,-76.46091510070667,-76.46048769143664
400,0.0004274002578040027,-76.46337497274665,-76.46294757248884
401,0.0004274207024647103,-76.45910928815667,-76.4586818674542
402,0.0004273163846824458,-76.46040471926335,-76.45997740287866
403,0.0004274325917194478,-76.46385216053335,-76.46342472794163
404,0.000427379653982582,-76.46336058173665,-76.46293320208267
405,0.00042741181541866796,-76.46180012887334,-76.46137271705791
406,0.0004274085455814697,-76.46046329149334,-76.46003588294776
407,0.00042742599805138654,-76.46218399519667,-76.46175656919861
408,0.00042739523447634677,-76.46287905939333,-76.46245166415885
409,0.00042735928075790026,-76.45925159302998,-76.45882423374921
410,0.00042741980485713836,-76.46275889177669,-76.46233147197184
411,0.0004273927124361772,-76.46199703145,-76.46156963873756
412,0.00042740813423420594,-76.46085573340666,-76.46042832527243
413,0.0004273867502644663,-76.46048776506667,-76.46006037831641
414,0.0004273917957580318,-76.45953819445668,-76.45911080266093
415,0.0004274356613377046,-76.46314905937668,-76.46272162371534
416,0.0004273979283470043,-76.46114096120667,-76.46071356327832
417,0.0004273953357123988,-76.46121282692002,-76.46078543158431
418,0.0004273938372321878,-76.46313197698,-76.46270458314277
419,0.0004273587023161118,-76.46182447227001,-76.4613971135677
420,0.00042742803928530216,-76.46254364469334,-76.46211621665405
421,0.00042741625240584846,-76.46421172140666,-76.46378430515425
422,0.00042737112515320064,-76.46082413534667,-76.46039676422151
423,0.0004273872980924514,-76.46088085325668,-76.4604534659586
424,0.0004274311226408518,-76.46188826880666,-76.46146083768402
425,0.00042742131785036597,-76.46255022877334,-76.46212280745549
426,0.00042738555935993886,-76.4638611942,-76.46343380864064
427,0.0004274014096184921,-76.46126229030666,-76.46083488889704
428,0.00042742784361563224,-76.46198037790002,-76.4615529500564
429,0.00042737672385740553,-76.46379763984332,-76.46337026311946
430,0.00042741705303336744,-76.46153794218334,-76.46111052513031
431,0.00042738265804981095,-76.46245729227667,-76.46202990961862
432,0.00042738953678316194,-76.46398664017667,-76.46355925063989
433,0.000427412482456054,-76.46326250307001,-76.46283509058756
434,0.00042739135394626536,-76.45861191930334,-76.45818452794938
435,0.0004274105526328337,-76.46150680921667,-76.46107939866404
436,0.00042734878334563513,-76.46065854092667,-76.46023119214333
437,0.0004274152732300914,-76.46291244627,-76.46248503099676
438,0.00042739978273651896,-76.46276954681667,-76.46234214703394
439,0.00042741554743440727,-76.45798366447667,-76.45755624892924
440,0.00042741356401386493,-76.46244609489001,-76.462018681326
441,0.0004274092270965847,-76.46154452941333,-76.46111712018623
442,0.00042733537190068856,-76.46009449854667,-76.45966716317477
443,0.0004274223511510811,-76.46308084740332,-76.46265342505217
444,0.00042739103799463966,-76.45935042206,-76.45892303102201
445,0.0004273945173204035,-76.46129366465999,-76.46086627014267
446,0.0004273695598422595,-76.46315468136332,-76.46272731180348
447,0.0004273929397290805,-76.46222270399666,-76.46179531105693
448,0.00042739952263856477,-76.46077476326667,-76.46034736374403
449,0.00042743050221868257,-76.46062878516665,-76.46020135466443
450,0.00042740450082528894,-76.46037064178668,-76.45994323728586
451,0.0004273920696638319,-76.46060351115999,-76.46017611909032
452,0.0004273769594667244,-76.46265076055,-76.46222338359054
453,0.00042741453403424547,-76.45879397580332,-76.45836656126929
454,0.0004273755382763668,-76.46216215822332,-76.46173478268504
455,0.00042743146616419485,-76.46376655741668,-76.46333912595051
456,0.00042739181266363024,-76.4606979439,-76.46027055208734
457,0.00042741457034216134,-76.46318588458,-76.46275847000966
458,0.00042743406728700217,-76.4617941654,-76.4613667313327
459,0.0004274106554522302,-76.45894271525665,-76.4585153046012
460,0.0004274281817176506,-76.46072062537334,-76.46029319719162
461,0.00042742670229382375,-76.46161855136333,-76.46119112466104
462,0.0004274113837014508,-76.46299625513667,-76.46256884375298
463,0.0004273782410343408,-76.45885019630333,-76.4584228180623
464,0.00042742862044531686,-76.46009922765,-76.45967179902956
465,0.00042740886291190567,-76.46093393817333,-76.46050652931041
